MeanDecreaseGini,lipid_id_became,lipid_id_miracle,lipid_class,modified_became_id
X93,0.0803189982537475,SM(d16:1/16:0),PE(O-18:2/18:2),Phosphatidylethanolamines ethers,SM(d16:1/16:0)
X5,0.0801301732596052,Cer(d18:0/24:1)-b,Cer(d18:0/24:1)-b,Ceramides,Cer(d18:0/24:1)-b
X98,0.0764785042161184,SM(d18:1/22:0),SM(d18:1/21:0),Sphingomyelins,SM(d18:1/22:0)
X31,0.0725830629185278,LPC20:1,LPC20:1,Lysophosphatidylcholines,LPC20:1
X25,0.0704883499733432,LPC18:1-a,LPC18:1-a,Lysophosphatidylcholines,LPC18:1-a
X145,0.0664397887820921,TG55:3,TG55:3,Triglycerides,TG55:3
X72,0.065022668078179,PC(16:1_22:5),PC(16:1_20:5),Phosphatidylcholines,PC(16:1_22:5)
X157,0.0645555654754372,TG58:7,TG58:7,Triglycerides,TG58:7__2
X36,0.0625455442953533,LPC22:6-b,LPC22:6-b,Lysophosphatidylcholines,LPC22:6-b
X76,0.0616655276814711,PC(18:2_18:3),PC(18:2_18:2),Phosphatidylcholines,PC(18:2_18:3)
X136,0.0595165068313753,TG54:3,TG54:3,Triglycerides,TG54:3
X32,0.0593561323317614,LPC20:3,LPC20:3,Lysophosphatidylcholines,LPC20:3
X35,0.0557529477663882,LPC22:6-a,LPC22:6-a,Lysophosphatidylcholines,LPC22:6-a
X19,0.0554897482595097,LPC16:0-d,LPC16:0-d,Lysophosphatidylcholines,LPC16:0-d
X79,0.0545492066236275,PC(18:2_22:5),PC(18:2_20:5),Phosphatidylcholines,PC(18:2_22:5)
