MeanDecreaseGini,lipid_id_became,lipid_id_miracle,lipid_class,modified_became_id
X108,0.0731703965876833,SM(d19:1/24:0),SM(d18:2/25:0),Sphingomyelins,SM(d19:1/24:0)__1
X140,0.0723616659425739,TG54:6,TG54:6,Triglycerides,TG54:6__3
X29,0.0712771038810276,LPC18:2-b,LPC18:2-b,Lysophosphatidylcholines,LPC18:2-b
X148,0.0708347945502082,TG56:5,TG56:5,Triglycerides,TG56:5__2
X48,0.0705694310419313,PC(O-17:0/20:4),PC(O-16:1/18:2)-b,Phosphatidylcholine ethers,PC(O-17:0/20:4)
X106,0.0689572937658477,SM(d18:2/25:0),SM(d18:2/23:0),Sphingomyelins,SM(d18:2/25:0)
X17,0.0683849247846526,LPC16:0-b,LPC16:0-b,Lysophosphatidylcholines,LPC16:0-b
X90,0.067980223132788,PE(16:0_22:6),PE(O-16:0/20:4),Phosphatidylethanolamines ethers,PE(16:0_22:6)
X45,0.0674072431478659,PC(O-16:0/20:5),PC(O-16:0/20:4),Phosphatidylcholine ethers,PC(O-16:0/20:5)
X79,0.0670744268524991,PC(18:2_22:5),PC(18:2_20:5),Phosphatidylcholines,PC(18:2_22:5)
X21,0.066957480057994,LPC17:0-b,LPC17:0-b,Lysophosphatidylcholines,LPC17:0-b
X114,0.0668836068148728,Epoxy TG(18:1_18:1_18:2(O)),Epoxy TG(18:1_18:1_18:2(O)),Epoxy triglycerides,Epoxy TG(18:1_18:1_18:2(O))
X68,0.0666881249004805,PC(16:0_22:7),PC(16:0_20:4n-3),Phosphatidylcholines,PC(16:0_22:7)
X20,0.0654373607501597,LPC16:1,LPC16:1,Lysophosphatidylcholines,LPC16:1
X44,0.0653439537381164,PC(O-16:0/20:4),PC(O-16:0/20:3),Phosphatidylcholine ethers,PC(O-16:0/20:4)
X152,0.0634185026030298,TG56:6,TG56:6,Triglycerides,TG56:6__4
X118,0.0633893501035057,TG48:4,TG48:3,Triglycerides,TG48:4__1
X60,0.0625863800612752,PC(14:0_18:2),PC(O-24:1/22:6),Phosphatidylcholine ethers,PC(14:0_18:2)
X18,0.0612456013311539,LPC16:0-c,LPC16:0-c,Lysophosphatidylcholines,LPC16:0-c
X138,0.0609627152597027,TG54:6,TG54:6,Triglycerides,TG54:6__1
X149,0.0589026658759852,TG56:6,TG56:6,Triglycerides,TG56:6__1
X50,0.057881926452618,PC(O-18:0/20:4),PC(O-18:0/18:2)-b,Phosphatidylcholine ethers,PC(O-18:0/20:4)
X107,0.0567537986624711,SM(d19:1/22:0),SM(d18:2/24:0),Sphingomyelins,SM(d19:1/22:0)
X12,0.0565276097661599,LPC(O-16:0),LPC(O-16:0),Lysophosphatidylcholine ethers,LPC(O-16:0)
X10,0.0554733527507555,CE20:4,CE20:4,Cholesteryl esters,CE20:4
X161,0.0531070975963435,TG60:8,TG61:1,Triglycerides,TG60:8
X101,0.0527474996718404,SM(d18:1/24:0),SM(d18:1/24:0),Sphingomyelins,SM(d18:1/24:0)__2
X158,0.0522230141972371,TG58:8,TG58:8,Triglycerides,TG58:8__1
X123,0.0520534886645327,TG50:2,TG50:2,Triglycerides,TG50:2__2
X66,0.0510917832445378,PC(16:0_20:4n-3) -c,PC(16:0_18:3)-b,Phosphatidylcholines,PC(16:0_20:4n-3) -c
X151,0.0510021400143252,TG56:6,TG56:6,Triglycerides,TG56:6__3
X28,0.0506230728048023,LPC18:2-a,LPC18:2-a,Lysophosphatidylcholines,LPC18:2-a
X156,0.0494259519708724,TG58:7,TG58:7,Triglycerides,TG58:7__1
X32,0.0493263448738852,LPC20:3,LPC20:3,Lysophosphatidylcholines,LPC20:3
X25,0.0479521480416463,LPC18:1-a,LPC18:1-a,Lysophosphatidylcholines,LPC18:1-a
X87,0.0477686867346711,PE(O-18:2/18:2),PE(16:0_22:6),Phosphatidylethanolamines,PE(O-18:2/18:2)
X120,0.0477625544683752,TG49:1,TG49:1,Triglycerides,TG49:1
X96,0.0471111988067106,SM(d18:1/12:0),SM(d18:1/12:0),Sphingomyelins,SM(d18:1/12:0)
X2,0.046482329486523,C18:0 Car,C18:0 Car,Acylcarnitines,C18:0 Car
X76,0.0456520716598225,PC(18:2_18:3),PC(18:2_18:2),Phosphatidylcholines,PC(18:2_18:3)
X14,0.0455603759056835,LPC(O-18:0),LPC(O-18:0),Lysophosphatidylcholine ethers,LPC(O-18:0)
X42,0.0445682680037827,PC(O-16:0/18:2),PC(O-16:0/18:0),Phosphatidylcholine ethers,PC(O-16:0/18:2)
X111,0.044505266955267,DG(16:0_18:1),DG(16:0/18:1),Diglycerides,DG(16:0_18:1)
X59,0.0442928538463042,PC(O-24:1/22:6),PC(O-20:2/20:4),Phosphatidylcholine ethers,PC(O-24:1/22:6)
X75,0.0442456599769895,PC(18:2_18:2),PC(18:1_20:5),Phosphatidylcholines,PC(18:2_18:2)
X130,0.0435319963254119,TG51:3,TG51:3,Triglycerides,TG51:3
